"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 14 18:11:50 MSK 2023","Fri Jul 14 18:11:57 MSK 2023","7394","","tests.OrdersGetTest","","tests.OrdersGetTest","getOrders","getOrders",""
"passed","Fri Jul 14 18:11:49 MSK 2023","Fri Jul 14 18:11:49 MSK 2023","51","","tests.CourierCreateTest","","tests.CourierCreateTest","createCourierWithEmptyPassword","createCourierWithEmptyPassword",""
"passed","Fri Jul 14 18:11:48 MSK 2023","Fri Jul 14 18:11:49 MSK 2023","406","","tests.CourierCreateTest","","tests.CourierCreateTest","createCourierCopy","createCourierCopy",""
"passed","Fri Jul 14 18:11:50 MSK 2023","Fri Jul 14 18:11:50 MSK 2023","240","","tests.LoginTest","","tests.LoginTest","courierLoginWithWrongLogin","courierLoginWithWrongLogin",""
"passed","Fri Jul 14 18:11:50 MSK 2023","Fri Jul 14 18:11:50 MSK 2023","99","","tests.OrderCreateTest","","tests.OrderCreateTest","createOrder[0]","createOrder[0]",""
"passed","Fri Jul 14 18:11:49 MSK 2023","Fri Jul 14 18:11:49 MSK 2023","48","","tests.LoginTest","","tests.LoginTest","courierLoginWithEmptyLogin","courierLoginWithEmptyLogin",""
"passed","Fri Jul 14 18:11:49 MSK 2023","Fri Jul 14 18:11:49 MSK 2023","49","","tests.LoginTest","","tests.LoginTest","courierLoginWithEmptyPassword","courierLoginWithEmptyPassword",""
"passed","Fri Jul 14 18:11:49 MSK 2023","Fri Jul 14 18:11:49 MSK 2023","368","","tests.LoginTest","","tests.LoginTest","courierCorrectLogin","courierCorrectLogin",""
"passed","Fri Jul 14 18:11:50 MSK 2023","Fri Jul 14 18:11:50 MSK 2023","90","","tests.OrderCreateTest","","tests.OrderCreateTest","createOrder[1]","createOrder[1]",""
"passed","Fri Jul 14 18:11:50 MSK 2023","Fri Jul 14 18:11:50 MSK 2023","59","","tests.OrderCreateTest","","tests.OrderCreateTest","createOrder[3]","createOrder[3]",""
"passed","Fri Jul 14 18:11:50 MSK 2023","Fri Jul 14 18:11:50 MSK 2023","46","","tests.OrderCreateTest","","tests.OrderCreateTest","createOrder[2]","createOrder[2]",""
"passed","Fri Jul 14 18:11:49 MSK 2023","Fri Jul 14 18:11:49 MSK 2023","87","","tests.CourierCreateTest","","tests.CourierCreateTest","createCourierWithEmptyLogin","createCourierWithEmptyLogin",""
"passed","Fri Jul 14 18:11:49 MSK 2023","Fri Jul 14 18:11:49 MSK 2023","344","","tests.LoginTest","","tests.LoginTest","courierLoginWithWrongPassword","courierLoginWithWrongPassword",""
"passed","Fri Jul 14 18:11:45 MSK 2023","Fri Jul 14 18:11:48 MSK 2023","2863","","tests.CourierCreateTest","","tests.CourierCreateTest","createCourier","createCourier",""
