"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","244","","CourierCreateTest","","CourierCreateTest","","createCourierCopy",""
"passed","","","57","","OrderCreateTest","","OrderCreateTest","","createOrder[2]",""
"passed","","","235","","LoginTest","","LoginTest","","courierLoginWithWrongLogin",""
"passed","","","40","","OrderCreateTest","","OrderCreateTest","","createOrder[1]",""
"passed","","","83","","OrderCreateTest","","OrderCreateTest","","createOrder[3]",""
"passed","","","7854","","OrdersGetTest","","OrdersGetTest","","getOrders",""
"passed","","","1961","","CourierCreateTest","","CourierCreateTest","","createCourier",""
"passed","","","250","","LoginTest","","LoginTest","","courierLoginWithWrongPassword",""
"passed","","","70","","CourierCreateTest","","CourierCreateTest","","createCourierWithEmptyLogin",""
"passed","","","61","","LoginTest","","LoginTest","","courierLoginWithEmptyLogin",""
"passed","","","45","","CourierCreateTest","","CourierCreateTest","","createCourierWithEmptyPassword",""
"passed","","","61","","LoginTest","","LoginTest","","courierLoginWithEmptyPassword",""
"passed","","","307","","LoginTest","","LoginTest","","courierCorrectLogin",""
"passed","","","92","","OrderCreateTest","","OrderCreateTest","","createOrder[0]",""
